masterOrderID,price,payment,change,staffID,ReportID,TableNo,checkoutTime,checkoutDate
1,25,25,0,1,1,T16,08:15:09,2017-11-06
2,53,53,0,3,1,T1,08:15:25,2017-11-06
3,46,46,0,3,1,T17,08:22:46,2017-11-06
4,70,70,0,8,1,T8,08:42:00,2017-11-06
5,204,204,0,3,1,T14,08:42:18,2017-11-06
6,57,57,0,3,1,T8,08:49:45,2017-11-06
7,115,115,0,1,1,T5,09:12:17,2017-11-06
8,110,110,0,1,1,T8,09:18:22,2017-11-06
9,145,145,0,1,1,T2,09:19:19,2017-11-06
10,44,44,0,1,1,T18,09:21:18,2017-11-06
11,12,12,0,1,1,T9,09:23:46,2017-11-06
12,24,24,0,3,1,T17,09:33:28,2017-11-06
13,102,102,0,3,1,T14,09:33:39,2017-11-06
14,70,70,0,2,1,T1,09:43:44,2017-11-06
15,200,200,0,8,1,T8,09:46:13,2017-11-06
16,25,25,0,1,1,T17,09:55:17,2017-11-06
17,98,98,0,2,1,T14,09:59:37,2017-11-06
18,137,137,0,2,1,T20,10:02:31,2017-11-06
19,115,115,0,7,1,T17,10:02:42,2017-11-06
20,33,33,0,8,1,T15,10:11:49,2017-11-06
21,15,15,0,8,1,T4,10:15:02,2017-11-06
22,49,49,0,3,1,T7,10:16:33,2017-11-06
23,60,60,0,7,1,T7,10:18:08,2017-11-06
24,22,22,0,8,1,T15,10:21:42,2017-11-06
25,63,63,0,8,1,T13,10:26:59,2017-11-06
26,38,38,0,3,1,T4,10:35:30,2017-11-06
27,10,10,0,1,1,T3,10:41:30,2017-11-06
28,12,12,0,2,1,T16,10:54:28,2017-11-06
29,120,120,0,7,1,T13,10:54:31,2017-11-06
30,215,215,0,3,1,T4,11:02:48,2017-11-06
31,110,110,0,8,1,T2,11:04:40,2017-11-06
32,41,41,0,1,1,T20,11:12:06,2017-11-06
33,120,120,0,3,1,T16,11:20:42,2017-11-06
34,72,72,0,1,1,T13,11:22:50,2017-11-06
35,15,15,0,7,1,T16,11:36:33,2017-11-06
36,110,110,0,7,1,T1,11:37:46,2017-11-06
37,22,22,0,2,1,T5,11:39:33,2017-11-06
38,38,38,0,3,1,T7,11:45:13,2017-11-06
39,58,58,0,2,1,T1,11:45:59,2017-11-06
40,10,10,0,3,1,T4,11:58:39,2017-11-06
41,24,24,0,3,1,T19,12:01:25,2017-11-06
42,126,126,0,3,1,T19,12:10:41,2017-11-06
43,24,24,0,3,1,T6,12:18:22,2017-11-06
44,53,53,0,3,1,T13,12:23:13,2017-11-06
45,50,50,0,7,1,T1,12:33:50,2017-11-06
46,90,90,0,1,1,T4,12:34:34,2017-11-06
47,31,31,0,1,1,T6,12:39:17,2017-11-06
48,30,30,0,8,1,T6,12:51:55,2017-11-06
49,37,37,0,2,1,T6,12:58:16,2017-11-06
50,51,51,0,7,1,T5,12:59:36,2017-11-06
51,13,13,0,8,1,T12,13:00:53,2017-11-06
52,70,70,0,1,1,T11,13:01:35,2017-11-06
53,100,100,0,7,1,T2,13:05:40,2017-11-06
54,35,35,0,8,1,T4,13:06:04,2017-11-06
55,123,123,0,7,1,T2,13:08:19,2017-11-06
56,105,105,0,8,1,T14,13:09:35,2017-11-06
57,16,16,0,2,1,T14,13:15:41,2017-11-06
58,28,28,0,8,1,T11,13:19:37,2017-11-06
59,14,14,0,2,1,T14,13:29:46,2017-11-06
60,20,20,0,8,1,T17,13:34:30,2017-11-06
61,100,100,0,1,1,T11,13:42:29,2017-11-06
62,47,47,0,2,1,T2,13:45:12,2017-11-06
63,20,20,0,2,1,T13,13:48:55,2017-11-06
64,122,122,0,8,1,T9,13:50:02,2017-11-06
65,32,32,0,8,1,T12,13:54:45,2017-11-06
66,68,68,0,1,1,T8,14:03:51,2017-11-06
67,114,114,0,8,1,T13,14:07:57,2017-11-06
68,24,24,0,1,1,T9,14:08:40,2017-11-06
69,70,70,0,3,1,T12,14:09:22,2017-11-06
70,62,62,0,1,1,T15,14:14:42,2017-11-06
71,114,114,0,2,1,T15,14:21:18,2017-11-06
72,26,26,0,3,1,T15,14:21:42,2017-11-06
73,66,66,0,1,1,T6,14:22:00,2017-11-06
74,220,220,0,8,1,T15,14:27:15,2017-11-06
75,12,12,0,7,1,T16,14:27:32,2017-11-06
76,43,43,0,7,1,T14,14:32:07,2017-11-06
77,100,100,0,7,1,T2,14:32:14,2017-11-06
78,144,144,0,7,1,T2,14:35:43,2017-11-06
79,60,60,0,7,1,T13,14:39:20,2017-11-06
80,34,34,0,1,1,T11,14:42:10,2017-11-06
81,15,15,0,1,1,T20,14:47:34,2017-11-06
82,10,10,0,8,1,T14,14:49:53,2017-11-06
83,50,50,0,7,1,T20,14:52:37,2017-11-06
84,105,105,0,1,1,T12,15:07:37,2017-11-06
85,52,52,0,2,1,T16,15:11:02,2017-11-06
86,108,108,0,2,1,T13,15:28:50,2017-11-06
87,84,84,0,7,1,T11,15:33:58,2017-11-06
88,48,48,0,2,1,T3,15:39:47,2017-11-06
89,25,25,0,8,1,T10,15:44:09,2017-11-06
90,120,120,0,3,1,T11,15:45:31,2017-11-06
91,22,22,0,8,1,T4,15:48:20,2017-11-06
92,150,150,0,1,1,T2,15:49:00,2017-11-06
93,18,18,0,1,1,T14,15:50:09,2017-11-06
94,35,35,0,8,1,T9,16:03:12,2017-11-06
95,160,160,0,7,1,T1,16:05:33,2017-11-06
96,68,68,0,1,1,T19,16:08:15,2017-11-06
97,55,55,0,7,1,T8,16:10:02,2017-11-06
98,134,134,0,1,1,T2,16:29:51,2017-11-06
99,23,23,0,8,1,T9,16:31:25,2017-11-06
100,102,102,0,2,1,T19,16:49:33,2017-11-06
101,25,25,0,8,1,T5,16:50:20,2017-11-06
102,210,210,0,1,1,T19,16:53:31,2017-11-06
103,123,123,0,8,1,T19,16:56:07,2017-11-06
104,10,10,0,8,1,T20,17:00:05,2017-11-06
105,103,103,0,2,1,T10,17:03:28,2017-11-06
106,115,115,0,8,1,T8,17:11:30,2017-11-06
107,90,90,0,7,1,T17,17:13:42,2017-11-06
108,138,138,0,7,1,T14,17:18:56,2017-11-06
109,25,25,0,8,1,T15,17:20:50,2017-11-06
110,10,10,0,3,1,T13,17:26:07,2017-11-06
111,25,25,0,1,1,T4,17:29:33,2017-11-06
112,84,84,0,8,1,T1,17:31:39,2017-11-06
113,10,10,0,3,1,T14,17:35:17,2017-11-06
114,18,18,0,7,1,T15,17:36:21,2017-11-06
115,70,70,0,3,1,T8,17:36:48,2017-11-06
116,24,24,0,2,1,T10,17:41:53,2017-11-06
117,57,57,0,1,1,T13,17:44:52,2017-11-06
118,62,62,0,8,1,T1,17:49:43,2017-11-06
119,120,120,0,8,1,T5,17:55:24,2017-11-06
120,90,90,0,8,1,T7,17:59:44,2017-11-06
121,10,10,0,8,1,T4,18:03:39,2017-11-06
122,24,24,0,7,1,T8,18:10:23,2017-11-06
123,47,47,0,2,1,T2,18:10:53,2017-11-06
124,25,25,0,1,1,T4,18:15:23,2017-11-06
125,30,30,0,3,1,T13,18:18:39,2017-11-06
126,42,42,0,7,1,T12,18:31:02,2017-11-06
127,105,105,0,8,1,T4,18:32:20,2017-11-06
128,127,127,0,3,1,T6,18:36:40,2017-11-06
129,10,10,0,2,1,T11,18:36:59,2017-11-06
130,40,40,0,3,1,T14,18:43:11,2017-11-06
131,10,10,0,1,1,T19,18:53:27,2017-11-06
132,12,12,0,1,1,T3,19:05:11,2017-11-06
133,73,73,0,2,1,T15,19:05:36,2017-11-06
134,15,15,0,8,1,T13,19:10:05,2017-11-06
135,30,30,0,7,1,T3,19:12:15,2017-11-06
136,55,55,0,8,1,T2,19:13:17,2017-11-06
137,28,28,0,7,1,T10,19:18:44,2017-11-06
138,10,10,0,3,1,T9,19:19:10,2017-11-06
139,90,90,0,1,1,T18,19:19:28,2017-11-06
140,60,60,0,8,1,T5,19:20:21,2017-11-06
141,15,15,0,1,1,T14,19:29:47,2017-11-06
142,64,64,0,7,1,T7,19:29:51,2017-11-06
143,13,13,0,2,1,T7,19:36:36,2017-11-06
144,58,58,0,2,1,T19,19:39:59,2017-11-06
145,40,40,0,3,1,T4,19:42:50,2017-11-06
146,69,69,0,1,1,T2,19:43:29,2017-11-06
147,49,49,0,7,1,T12,19:44:46,2017-11-06
148,74,74,0,8,1,T8,19:49:28,2017-11-06
149,30,30,0,7,1,T19,19:57:26,2017-11-06
150,48,48,0,8,1,T18,19:58:12,2017-11-06
151,28,28,0,2,1,T14,20:03:38,2017-11-06
152,60,60,0,3,1,T13,20:04:09,2017-11-06
153,46,46,0,7,1,T2,20:10:24,2017-11-06
154,18,18,0,7,1,T6,20:20:44,2017-11-06
155,30,30,0,3,1,T20,20:29:52,2017-11-06
156,54,54,0,3,1,T3,20:36:51,2017-11-06
157,42,42,0,3,1,T12,20:37:02,2017-11-06
158,30,30,0,3,1,T14,20:38:34,2017-11-06
159,60,60,0,2,1,T3,20:48:34,2017-11-06
160,45,45,0,2,1,T12,20:50:39,2017-11-06
161,30,30,0,1,2,T18,08:00:22,2017-11-07
162,53,53,0,1,2,T11,08:03:21,2017-11-07
163,40,40,0,8,2,T6,08:04:32,2017-11-07
164,12,12,0,2,2,T6,08:05:04,2017-11-07
165,33,33,0,1,2,T13,08:08:32,2017-11-07
166,43,43,0,7,2,T8,08:10:51,2017-11-07
167,20,20,0,3,2,T1,08:12:52,2017-11-07
168,15,15,0,3,2,T10,08:14:47,2017-11-07
169,132,132,0,2,2,T7,08:28:41,2017-11-07
170,100,100,0,1,2,T6,08:29:29,2017-11-07
171,18,18,0,1,2,T14,08:35:40,2017-11-07
172,15,15,0,3,2,T15,08:35:49,2017-11-07
173,40,40,0,3,2,T3,08:37:29,2017-11-07
174,10,10,0,1,2,T6,08:37:34,2017-11-07
175,100,100,0,3,2,T11,08:38:25,2017-11-07
176,42,42,0,3,2,T11,08:42:20,2017-11-07
177,15,15,0,3,2,T12,08:45:23,2017-11-07
178,118,118,0,2,2,T14,08:45:54,2017-11-07
179,70,70,0,3,2,T18,08:50:24,2017-11-07
180,85,85,0,3,2,T15,08:54:26,2017-11-07
181,70,70,0,2,2,T4,09:07:27,2017-11-07
182,30,30,0,8,2,T6,09:10:02,2017-11-07
183,22,22,0,3,2,T18,09:16:11,2017-11-07
184,20,20,0,3,2,T8,09:19:12,2017-11-07
185,103,103,0,2,2,T4,09:31:24,2017-11-07
186,158,158,0,3,2,T9,09:31:31,2017-11-07
187,10,10,0,8,2,T15,09:32:56,2017-11-07
188,190,190,0,7,2,T14,09:41:33,2017-11-07
189,82,82,0,3,2,T17,09:46:04,2017-11-07
190,80,80,0,1,2,T1,09:48:54,2017-11-07
191,13,13,0,8,2,T18,09:49:54,2017-11-07
192,40,40,0,1,2,T9,09:53:13,2017-11-07
