orderID,quantity,MasterOrderID,FoodID
1,3,1,DR002,10
2,1,1,SD004,15
3,1,2,DS007,15
4,3,2,DS004,24
5,1,2,SD010,14
6,1,3,DS002,18
7,2,3,DR010,15
8,1,3,DR008,13
9,2,4,CK008,60
10,1,4,DS008,10
11,3,5,PZ008,90
12,1,5,PZ010,90
13,1,5,DS004,24
14,2,6,DR010,15
15,1,6,BG003,24
16,1,6,SD009,18
17,2,7,DS010,15
18,3,7,PZ004,100
19,3,8,PZ001,90
20,1,8,DS008,10
21,2,8,DR011,10
22,1,9,CK007,30
23,3,9,PZ004,100
24,1,9,DS010,15
25,1,10,BG007,12
26,1,10,DR003,10
27,2,10,BG004,22
28,1,11,BG008,12
29,1,12,BG003,24
30,1,13,BG005,12
31,3,13,PZ010,90
32,3,14,PZ007,70
33,1,15,PZ003,100
34,3,15,SD001,10
35,3,15,PZ008,90
36,1,16,CK005,25
37,1,17,SD008,20
38,1,17,DS001,18
39,2,17,PZ006,60
40,1,18,CK004,25
41,2,18,PZ003,100
42,1,18,SD011,12
43,1,19,PZ004,100
44,1,19,DS007,15
45,1,20,DR006,13
46,1,20,DR002,10
47,1,20,DR001,10
48,2,21,DR009,15
49,1,22,DR011,10
50,1,22,DS005,15
51,1,22,BG003,24
52,1,23,CK009,50
53,1,23,DR002,10
54,3,24,BG006,12
55,1,24,SD001,10
56,1,25,DS003,18
57,1,25,CK007,30
58,1,25,DS007,15
59,1,26,BG009,18
60,3,26,BG002,20
61,1,27,DR003,10
62,1,28,BG008,12
63,1,29,DS003,18
64,1,29,PZ009,90
65,1,29,DR005,12
66,1,30,PZ002,90
67,1,30,PZ004,100
68,1,30,CK005,25
69,3,31,DR011,10
70,1,31,PZ008,90
71,3,31,SD003,10
72,2,32,CK005,25
73,1,32,SD007,16
74,3,33,PZ002,90
75,1,33,DR001,10
76,1,33,BG002,20
77,2,34,SD002,12
78,1,34,CK008,60
79,1,35,BG010,15
80,1,36,CK001,30
81,1,36,PZ005,80
82,1,37,BG004,22
83,1,38,SD001,10
84,1,38,DS008,10
85,1,38,DS001,18
86,2,39,DR005,12
87,1,39,CK006,22
88,1,39,BG003,24
89,1,40,DR003,10
90,3,41,BG003,24
91,1,42,PZ001,90
92,1,42,DS001,18
93,1,42,BG009,18
94,3,43,DS004,24
95,1,44,CK001,30
96,1,44,DR011,10
97,2,44,DR007,13
98,2,45,DR004,10
99,1,45,BG011,30
100,1,45,DR004,10
101,1,46,DR009,15
102,2,46,DS006,15
103,3,46,CK008,60
104,1,47,DR007,13
105,1,47,DS003,18
106,1,48,DR005,12
107,1,48,DS001,18
108,1,49,DR005,12
109,1,49,CK004,25
110,2,50,DR010,15
111,2,50,DS002,18
112,1,50,SD006,18
113,3,51,DR007,13
114,1,52,BG010,15
115,1,52,SD004,15
116,1,52,CK003,40
117,1,53,SD001,10
118,2,53,PZ001,90
119,1,54,BG010,15
120,1,54,DR002,10
121,1,54,SD005,10
122,1,55,PZ001,90
123,2,55,SD006,18
124,1,55,DS007,15
125,1,56,DR010,15
126,1,56,DR003,10
127,1,56,PZ005,80
128,1,57,SD007,16
129,1,58,SD001,10
130,1,58,DS001,18
131,1,59,SD010,14
132,1,60,BG002,20
133,1,61,PZ003,100
134,2,62,BG002,20
135,1,62,DS006,15
136,1,62,BG005,12
137,2,63,SD003,10
138,1,63,DR003,10
139,2,64,SD003,10
140,1,64,SD011,12
141,3,64,PZ003,100
142,1,65,SD003,10
143,1,65,SD011,12
144,1,65,DR003,10
145,1,66,DR010,15
146,1,66,CK003,40
147,3,66,DR008,13
148,1,67,BG003,24
149,1,67,PZ010,90
150,1,68,SD011,12
151,1,68,SD011,12
152,3,69,CK006,22
153,1,69,CK001,30
154,1,69,DS001,18
155,1,70,CK009,50
156,2,70,BG005,12
